Hrs	YY	MM	DD	HH	MM	SEC	L1_phase	L2_phase	C1_range	P2_range	\fD\nP2-C1 (m)	\fD\nL2*\fl\n\d2\n-L1*\fl\n\d1\n (m)
18.821	2.0000	1.0000	16.000	18.000	49.000	15.000	787986.443	602246.129	23296205.602	23296215.695	10.093	-0.179
18.825	2.0000	1.0000	16.000	18.000	49.000	30.000	808216.538	618009.744	23300054.836	23300064.848	10.012	-0.202
19.579	2.0000	1.0000	16.000	18.000	94.000	45.000	828560.543	633862.155	23303926.758	23303937.016	10.258	-0.217
18.833	2.0000	1.0000	16.000	18.000	50.000	0.0000	849019.791	649804.349	23307820.367	23307830.613	10.246	-0.236
18.837	2.0000	1.0000	16.000	18.000	50.000	15.000	869592.907	665835.269	23311734.859	23311745.480	10.621	-0.255
18.842	2.0000	1.0000	16.000	18.000	50.000	30.000	890264.000	681942.552	23315668.445	23315678.516	10.071	-0.270
18.846	2.0000	1.0000	16.000	18.000	50.000	45.000	911034.719	698127.464	23319621.000	23319631.363	10.363	-0.286
18.850	2.0000	1.0000	16.000	18.000	51.000	0.0000	931900.548	714386.463	23323591.922	23323602.027	10.105	-0.307
18.854	2.0000	1.0000	16.000	18.000	51.000	15.000	952862.780	730720.576	23327581.063	23327590.922	9.859	-0.330
18.858	2.0000	1.0000	16.000	18.000	51.000	30.000	973919.274	747128.161	23331588.078	23331598.781	10.703	-0.348
18.862	2.0000	1.0000	16.000	18.000	51.000	45.000	995068.087	763607.660	23335612.656	23335622.680	10.024	-0.371
18.867	2.0000	1.0000	16.000	18.000	52.000	0.0000	1016309.921	780159.669	23339654.563	23339664.527	9.964	-0.388
18.871	2.0000	1.0000	16.000	18.000	52.000	15.000	1037644.292	796783.778	23343714.719	23343724.602	9.883	-0.407
18.875	2.0000	1.0000	16.000	18.000	52.000	30.000	1059071.696	813480.358	23347791.914	23347801.703	9.789	-0.431
18.879	2.0000	1.0000	16.000	18.000	52.000	45.000	1080589.945	830247.760	23351887.414	23351897.672	10.258	-0.447
18.883	2.0000	1.0000	16.000	18.000	53.000	0.0000	1102199.273	847086.109	23355999.594	23356009.676	10.082	-0.468
